experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,2,exp2_t79,79,judgment,avventura,vacanza,vacanza,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t80,80,judgment,gomito,astio,astio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t81,81,judgment,ottimismo,profumo,ottimismo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t82,82,judgment,vaso,gloria,gloria,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t83,83,judgment,incidente,colpa,colpa,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t84,84,judgment,maglia,vincere,vincere,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t85,85,judgment,buio,balcone,buio,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t86,86,judgment,frigido,forcina,frigido,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t87,87,judgment,grave,caviglia,grave,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t88,88,judgment,precipizio,orrore,orrore,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t89,89,judgment,asilo,motivo,motivo,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t90,90,judgment,occhio,inganno,inganno,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t91,91,judgment,causa,stomaco,causa,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t92,92,judgment,bicicletta,passione,passione,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t93,93,judgment,ricatto,schiaffo,ricatto,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t94,94,judgment,ispirato,geranio,ispirato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t95,95,judgment,dono,perspicacia,perspicacia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t96,96,judgment,eccellenza,diamante,eccellenza,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t97,97,judgment,infuriato,forchetta,infuriato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t98,98,judgment,annoiato,mestolo,annoiato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t99,99,judgment,atletica,scarpa,atletica,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t100,100,judgment,deforme,tronco,deforme,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t101,101,judgment,intimo,mistico,mistico,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t102,102,judgment,scrivania,pensieroso,pensieroso,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t103,103,judgment,leggenda,scala,leggenda,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t104,104,judgment,prestigio,lusso,lusso,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t105,105,judgment,burro,tenero,tenero,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t106,106,judgment,tavolo,pressione,pressione,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t107,107,judgment,umano,morale,morale,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t108,108,judgment,miracolo,applauso,miracolo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t109,109,judgment,dormire,paradiso,paradiso,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t110,110,judgment,puzza,stufa,puzza,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t111,111,judgment,infedele,sposa,infedele,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t112,112,judgment,aereo,allerta,allerta,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t113,113,judgment,rosso,bicchiere,rosso,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t114,114,judgment,poesia,penna,poesia,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t115,115,judgment,abito,solenne,solenne,right,1,mouse,20.0,M,keypress
